Overall Ranking,College Name,Outomes Ranking,Resources Ranking,Engagement Ranking,Environment Ranking,Average Net Price
381,Transylvania University,401-500,237,401-500,>600,"$26,454"
387,Cedar Crest College,501-600,364,199,309,"$21,174"
387,Wartburg College,401-500,227,401-500,>600,"$22,976"
389,"California State Polytechnic University, Pomona",219,>600,285,12,"$12,634"
389,Wittenberg University,320,378,401-500,>600,"$24,339"
391,Gannon University,401-500,294,179,501-600,"$21,793"
391,Saint Vincent College,308,325,501-600,>600,"$21,038"
391,Virginia Commonwealth University,401-500,393,501-600,135,"$20,741"
394,Towson University,176,>600,314,252,"$15,250"
394,Xavier University of Louisiana,401-500,401-500,401-500,205,"$17,034"
396,Hendrix College,501-600,150,>600,>600,"$22,089"
396,Lebanon Valley College,401-500,219,401-500,>600,"$27,443"
396,Misericordia University,297,343,>600,>600,"$25,933"
396,Seattle Pacific University,401-500,401-500,332,309,"$31,078"
396,Western Illinois University,501-600,356,285,190,"$15,605"
401-500,University of Alabama,344,501-600,199,501-600,"$19,993"
401-500,University of Alabama in Huntsville,401-500,401-500,>600,347,"$14,766"
401-500,Alverno College,>600,364,225,309,"$18,028"
401-500,Arcadia University,>600,343,401-500,309,"$27,567"
401-500,Arizona State University (Downtown Phoenix),337,>600,>600,144,"$12,299"
401-500,University of Arkansas,327,501-600,250,401-500,"$15,966"
401-500,Augsburg University,501-600,401-500,134,252,"$24,020"
401-500,Baldwin Wallace University,401-500,302,93,>600,"$23,990"
401-500,Belmont University,401-500,401-500,285,>600,"$35,382"
401-500,Benedictine University,366,401-500,501-600,280,"$24,039"
401-500,Berry College,501-600,124,401-500,>600,"$26,173"
401-500,Bethel University,401-500,401-500,76,>600,"$28,706"
401-500,CUNY Lehman College,401-500,501-600,371,54,"$2,939"
401-500,California College of the Arts,>600,317,>600,27,"$39,075"
401-500,"California State University, Bakersfield",228,>600,>600,27,"$6,794"
401-500,"California State University, East Bay",171,>600,>600,5,"$11,425"
401-500,"California State University, Fullerton",267,>600,332,17,"$8,562"
401-500,"California State University, Sacramento",202,>600,401-500,40,"$9,841"
401-500,"California State University, San Bernardino",219,>600,501-600,44,"$8,704"
401-500,"California State University, San Marcos",261,>600,>600,19,"$10,454"
401-500,Campbell University,>600,311,371,293,"$25,503"
401-500,Capital University,501-600,339,199,>600,"$21,010"
401-500,Carroll College,401-500,343,401-500,>600,"$26,636"
401-500,Cedarville University,366,401-500,2,>600,"$23,520"
401-500,Central College,401-500,242,401-500,>600,"$22,825"
401-500,Central Connecticut State University,501-600,501-600,401-500,233,"$15,860"
401-500,Clarke University,501-600,193,501-600,>600,"$26,909"
401-500,Cleveland State University,501-600,501-600,225,166,"$15,320"
401-500,"Colorado State University, Fort Collins",320,501-600,179,>600,"$17,191"
401-500,University of Dallas,>600,286,401-500,401-500,"$26,657"
401-500,Dordt University,401-500,401-500,1,>600,"$25,688"
401-500,Edgewood College,401-500,317,332,>600,"$25,042"
401-500,Florida Atlantic University,314,>600,501-600,81,"$10,100"
401-500,Franklin College,501-600,290,155,>600,"$22,408"
401-500,George Fox University,401-500,501-600,401-500,401-500,"$29,038"
401-500,Gordon College,501-600,378,501-600,401-500,"$30,888"
401-500,Hamline University,366,501-600,501-600,501-600,"$22,090"
401-500,Hampton University,501-600,343,>600,293,"$26,031"
401-500,Hastings College,401-500,300,371,>600,"$21,400"
401-500,University of Idaho,>600,354,134,401-500,"$14,997"
401-500,Iona College,359,501-600,>600,280,"$27,000"
401-500,Kansas State University,401-500,401-500,76,501-600,"$17,465"
401-500,Kettering University,306,401-500,>600,401-500,"$37,703"
401-500,King's College,344,401-500,>600,>600,"$26,615"
401-500,LIU Brooklyn,>600,401-500,>600,35,"$26,771"
401-500,Lawrence Technological University,501-600,200,>600,401-500,"$27,373"
401-500,Le Moyne College,246,401-500,>600,>600,"$24,146"
401-500,Lewis University,401-500,501-600,199,371,"$19,967"
401-500,Lincoln Memorial University,501-600,213,501-600,>600,"$19,008"
401-500,University of Lynchburg,>600,219,501-600,>600,"$24,202"
401-500,Marian University (Indiana),401-500,325,>600,501-600,"$20,902"
401-500,Marist College,320,501-600,314,501-600,"$36,576"
401-500,Massachusetts College of Art and Design,501-600,237,>600,393,"$22,043"
401-500,University of Massachusetts Boston,401-500,401-500,>600,9,"$10,991"
401-500,McDaniel College,378,311,>600,501-600,"$22,652"
401-500,Merrimack College,293,501-600,401-500,>600,"$33,202"
401-500,Messiah College,401-500,356,134,>600,"$27,821"
401-500,Metropolitan State University,239,>600,>600,81,"$13,954"
401-500,University of Michigan-Dearborn,401-500,501-600,332,150,"$9,692"
401-500,Milwaukee School of Engineering,297,501-600,>600,501-600,"$23,793"
401-500,Mississippi State University,391,>600,225,401-500,"$16,056"
401-500,University of Missouri-St Louis,401-500,401-500,401-500,371,"$9,150"
401-500,Montclair State University,337,>600,501-600,71,"$15,224"
401-500,Morehouse College,401-500,358,>600,321,"$30,566"
401-500,University of Nebraska-Lincoln,379,501-600,76,401-500,"$16,813"
401-500,"University of Nevada, Las Vegas",401-500,501-600,225,54,"$11,582"
401-500,University of New Mexico,>600,401-500,285,81,"$11,283"
401-500,University of North Dakota,501-600,317,371,>600,"$14,478"
401-500,North Dakota State University,401-500,401-500,111,>600,"$14,848"
401-500,University of North Florida,289,>600,401-500,321,"$13,524"
401-500,North Park University,>600,387,401-500,150,"$20,651"
401-500,University of North Texas,401-500,>600,155,81,"$12,053"
401-500,Northeastern Illinois University,>600,401-500,401-500,19,"$16,462"
401-500,Northern Illinois University,501-600,387,501-600,252,"$19,379"
401-500,Notre Dame de Namur University,401-500,501-600,>600,35,"$28,167"
401-500,Nova Southeastern University,>600,325,501-600,44,"$26,740"
401-500,Ouachita Baptist University,401-500,311,199,>600,"$17,934"
401-500,College of the Ozarks,327,501-600,250,>600,"$13,498"
401-500,Randolph-Macon College,401-500,219,>600,>600,"$26,575"
401-500,University of Rhode Island,285,501-600,332,501-600,"$18,739"
401-500,Roger Williams University,401-500,354,285,>600,"$36,862"
401-500,SUNY Buffalo State,501-600,501-600,371,150,"$12,594"
401-500,SUNY Plattsburgh,401-500,401-500,371,401-500,"$13,299"
401-500,Saint Francis University,278,401-500,371,>600,"$27,446"
401-500,Saint Michael's College,366,358,>600,>600,"$31,997"
401-500,Salve Regina University,280,401-500,401-500,>600,"$33,997"
401-500,San Francisco State University,303,>600,371,5,"$13,551"
401-500,Shenandoah University,501-600,213,501-600,393,"$29,248"
